id,title,employer,location,published,description,webpage_url
31087420,Data Scientist - Games,Embark Studios AB,Stockholm,2026-05-27T08:09:53,"As a Data Scientist at Embark, you will play a crucial role in our team of data professionals, focusing specifically on game analytics. You will be instrumental in providing insights and support for our game titles, leveraging data to optimize player experience, and providing actionable insights for",https://arbetsformedlingen.se/platsbanken/annonser/31087420
31479220,Data Analyst / Data Scientist (French speaking),STIFTELSEN FLOWMINDER,Stockholm,2026-09-15T13:05:55,"Flowminder is a non-profit foundation. We enable decision makers to access the data they need to transform the lives of vulnerable people, at scale.
We analyse pseudonymised mobile operator data, satellite imagery and household survey data to measure where people are and how they move. Flowminder re",https://arbetsformedlingen.se/platsbanken/annonser/31479220
31256879,Erfaren Software Developer / Data Scientist,Professional Galaxy AB,Linköping,2026-07-07T22:05:42,"Professional Galaxy är ett IT- och teknikkonsultbolag som tillhandahåller högspecialiserad kompetens inom IT, mjukvaruutveckling, SAP, inköp, elektronik och mekanisk konstruktion. Vi samarbetar med erfarna seniora experter och levererar strategiskt värdeskapande kompetens till några av Sveriges mest",https://arbetsformedlingen.se/platsbanken/annonser/31256879
31451802,"Senior Data Scientist, Department of AI",Vend Marketplaces AB,Stockholm,2026-09-08T14:06:51,"THE OPPORTUNITY IN A NUTSHELLYou? A hands-on, product-minded Data Scientist who turns rich datasets into intelligent, innovative AI systems that directly shape user experiences and business models. You’re motivated, eager and equipped to make us smarter by using data to innovate in our product offer",https://arbetsformedlingen.se/platsbanken/annonser/31451802
31503833,Junior Traceability Data analyst,Framtiden i Sverige AB,Jönköping,2026-09-22T08:36:17,"Vill du arbeta i
gränslandet mellan data, verksamhet och digitalisering? Är du analytisk,
nyfiken och gillar att lösa problem tillsammans med andra? Då kan detta vara en
perfekt möjlighet att utvecklas hos Husqvarna Group.

Om rollen
Som Junior Traceability
Data Analyst blir du en del av Digital Inf",https://arbetsformedlingen.se/platsbanken/annonser/31503833
31431164,Senior Data Platform Engineer,Agile Resources AB,Södertälje,2026-09-02T17:53:34,"Bygg och utveckla skalbara dataplattformar med Databricks, AWS och starkt fokus på data governance i en senior och verksamhetsnära roll.
Vill du utveckla robusta dataplattformar som gör verksamhetsdata tillgänglig, säker och användbar? I den här seniora rollen får du driva utvecklingen av en modern ",https://arbetsformedlingen.se/platsbanken/annonser/31431164
31345409,AFRY Digital Services söker nästa kollega inom Data Engineering,AFRY AB,Göteborg,2026-08-12T15:04:41,"Företagsbeskrivning
AFRY är ett internationellt teknikkonsultbolag med stark lokal närvaro. Hos oss får du arbeta tillsammans med erfarna kollegor i en miljö där teknik, kvalitet och hållbarhet står i fokus. Vi är en stabil arbetsgivare med kollektivavtal, goda förmåner och en kultur där vi värnar o",https://arbetsformedlingen.se/platsbanken/annonser/31345409
31217091,Data Engineer / BI Consultant till managementkonsultbolag,Friday Väst AB,Stockholm,2026-06-25T15:07:53,"Vill du kombinera data, AI och affärsutveckling?
Är du en erfaren Data Engineer eller BI-konsult som drivs av att skapa affärsvärde – inte bara bygga tekniska lösningar? Vill du arbeta nära företagsledningar och hjälpa några av Sveriges största företag att fatta bättre beslut med hjälp av data? Då k",https://arbetsformedlingen.se/platsbanken/annonser/31217091
31499244,Robotics expert,The Link Factor AB,Stockholm,2026-09-21T10:00:35,"As our Robotics Expert, you will leverage state-of-the-art methods to design and implement practical, deployable robotics solutions that serve multiple industrial sectors. You will be responsible for ensuring our systems can operate reliably in real-world industrial environments, from pharmaceutical",https://arbetsformedlingen.se/platsbanken/annonser/31499244
31497231,Intelligence Lead  Wildlife AI & Edge Systems,Flox Intelligence AB,Stockholm,2026-09-18T23:45:20,"About Flox Intelligence
 Flox Intelligence AB is a Stockholm-based wildlife intelligence company (KTH spin-off, founded 2020) building edge AI and bioacoustic systems for real-time wildlife detection and non-lethal deterrence at airports, railways, roads and critical infrastructure. Our FloxEdge dev",https://arbetsformedlingen.se/platsbanken/annonser/31497231
31497074,Data Analyst,IKEA of Sweden AB,Älmhult,2026-09-18T18:35:30,"Hej Data Analyst,
Do you want to furnish the future with innovative solutions?
With us, you can feel at home in your work while sharing that feeling with millions of people around the world. We encourage you to stand up for yourself and others, creating an environment where everyone feels welcome. W",https://arbetsformedlingen.se/platsbanken/annonser/31497074
31482330,Senior Production Engineer  Robotics / Assembly,Semicon Service Nordic AB,,2026-09-16T09:13:50,"Senior Production Engineer – Robotics / Assembly
📌 Role Overview
Our client is looking for an experienced Senior Production Engineer to support the development, optimization, and implementation of assembly operations within an advanced manufacturing environment.
The assignment involves working with ",https://arbetsformedlingen.se/platsbanken/annonser/31482330
31482250,Senior Data Engineer,GlobalLogic Sweden AB,Göteborg,2026-09-16T09:02:05,"At least 5 years continuous experience in data engineering area.
• E. B.Sc. or M.Sc. in Computer Science, Engineering, Information Technology or equivalent work experience.
• Strong knowledge and hands on experience of big data technologies such as data lakes, Apache Spark, Flink, Kafka etc.
• Good ",https://arbetsformedlingen.se/platsbanken/annonser/31482250
31469857,Senior Generative AI Engineer,Nordic Investin Group Aktiebolag,Lund,2026-09-12T13:17:56,"Nordic Investin has been engaged by a partner company to find a Senior Generative AI Engineer. You want to build generative AI systems that are useful because retrieval, evaluation, permissions and workflow design are treated as engineering problems.
The partner is developing AI assisted capabilitie",https://arbetsformedlingen.se/platsbanken/annonser/31469857
31469855,Senior Machine Learning Engineer,Nordic Investin Group Aktiebolag,Stockholm,2026-09-12T13:17:19,"On behalf of a partner company, Nordic Investin is looking for a Senior Machine Learning Engineer. You are interested in models that perform after deployment, when data shifts, latency appears and users behave differently than the notebook assumed.
The partner is moving machine learning capabilities",https://arbetsformedlingen.se/platsbanken/annonser/31469855
